Unidad,tiempo_falla
1,22.81416724
2,47.76011025
3,62.64681128
4,18.81372783
5,12.20523312
6,1.218745961
7,113.0707923
8,18.81577661
9,1.116339969
10,15.31470224
11,18.84362294
12,46.07533902
13,65.72943972
14,42.11485121
15,0.854002883
16,44.49089609
17,57.7161136
18,44.47299264
19,80.82453008
20,19.19394532
21,7.810742469
22,19.95434517
23,139.24295
24,8.212177832
25,37.48959336
26,3.699068261
27,57.2652832
28,85.77726616
29,3.515301448
30,33.11336727
31,0.129375075
32,55.82276089
33,121.0430112
34,12.33542421
35,86.18106038
36,50.56048384
37,12.1229216
38,132.6513057
39,61.55273259
40,88.299545
41,12.18116173
42,50.17582132
43,79.18897444
44,102.5360503
45,44.88003288
46,97.16331273
47,67.32119543
48,28.85186191
49,66.04818542
50,32.06420717
51,27.86786658
52,24.7647935
53,33.1020695
54,96.42652291
55,28.02956747
56,17.05229663
57,23.55739799
58,17.17663594
59,19.97968424
60,86.95259544
61,59.23085043
62,46.29614508
63,2.571582362
64,20.06568259
65,18.01807454
66,133.7724882
67,10.04599295
68,34.49179615
69,59.83042359
70,77.28311206
71,25.63847486
72,84.66849757
73,3.17313889
74,23.25093757
75,38.25799379
76,70.89104419
77,0.225620478
78,14.81390227
79,129.3998939
80,26.55494641
81,14.43765547
82,5.142802381
83,4.44770851
84,73.4066324
85,57.45433133
86,10.18190021
87,105.3340345
88,12.80778536
89,16.6816807
90,22.77938058
91,16.03556455
92,20.52250403
93,52.76828199
94,44.20854395
95,119.9809681
96,12.83514937
97,7.336676376
98,9.829291704
99,8.488311545
100,1.12305166
